epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.7782,1.17526,1.54881,1.27422,0.79396,0.79754,0.83692,0.63241,0.90093,0.9426,1.06327,0.000207653,0.000207653,0.000207653
2,186.087,1.04777,0.84604,1.21532,0.90741,0.90347,0.91149,0.69919,0.87052,0.63899,1.01868,0.000415827,0.000415827,0.000415827
3,278.291,1.01308,0.7929,1.20153,0.92741,0.90504,0.9207,0.69825,0.92679,0.61421,1.05037,0.000623367,0.000623367,0.000623367
4,370.587,0.98713,0.76146,1.19029,0.92302,0.91005,0.91998,0.65175,1.08367,0.63001,1.10452,0.000622856,0.000622856,0.000622856
5,462.99,0.96065,0.72916,1.1801,0.90724,0.89104,0.91475,0.73513,0.75927,0.58812,1.00713,0.000621191,0.000621191,0.000621191
6,556.76,0.91915,0.68808,1.15566,0.92001,0.9196,0.92242,0.70658,0.90022,0.54433,1.04233,0.000619055,0.000619055,0.000619055
7,652.562,0.89647,0.68168,1.14701,0.91683,0.91805,0.91817,0.76028,0.68947,0.55152,0.97236,0.000616452,0.000616452,0.000616452
8,747.354,0.87345,0.6522,1.12904,0.9144,0.90063,0.91309,0.76654,0.64626,0.59654,0.97054,0.000613385,0.000613385,0.000613385
9,842.591,0.86176,0.64237,1.12889,0.92303,0.9129,0.91711,0.77358,0.64753,0.52699,0.96041,0.000609858,0.000609858,0.000609858
10,938.534,0.85293,0.63753,1.12196,0.92958,0.92315,0.92732,0.7847,0.62947,0.50831,0.96387,0.000605878,0.000605878,0.000605878
11,1034.96,0.82517,0.62086,1.10455,0.92478,0.91468,0.92583,0.78786,0.6104,0.50403,0.95283,0.00060145,0.00060145,0.00060145
12,1130.95,0.82133,0.60653,1.10565,0.93215,0.91995,0.93082,0.78869,0.62487,0.47944,0.95511,0.000596582,0.000596582,0.000596582
13,1226.11,0.8144,0.60572,1.10117,0.92796,0.92351,0.93182,0.78607,0.63072,0.48652,0.95639,0.00059128,0.00059128,0.00059128
14,1321.62,0.8079,0.60552,1.09547,0.93065,0.92546,0.93602,0.77135,0.68421,0.48002,0.96863,0.000585553,0.000585553,0.000585553
15,1416.58,0.79325,0.59522,1.08791,0.93018,0.90241,0.92788,0.79157,0.6076,0.50322,0.95001,0.000579411,0.000579411,0.000579411
16,1512.44,0.79305,0.58962,1.0918,0.93457,0.91181,0.9267,0.78754,0.62426,0.49454,0.94195,0.000572861,0.000572861,0.000572861
17,1607.68,0.77036,0.57355,1.07772,0.9444,0.91858,0.93795,0.80247,0.59432,0.4582,0.9395,0.000565915,0.000565915,0.000565915
18,1703.35,0.76194,0.56284,1.07145,0.93444,0.92124,0.93616,0.77956,0.66803,0.48453,0.96538,0.000558582,0.000558582,0.000558582
19,1800.47,0.76462,0.56344,1.07322,0.92934,0.92323,0.93655,0.81113,0.55646,0.45345,0.93232,0.000550876,0.000550876,0.000550876
20,1896.83,0.74885,0.56005,1.06552,0.93821,0.91935,0.93815,0.81491,0.56983,0.45174,0.92901,0.000542806,0.000542806,0.000542806
21,1992.86,0.73225,0.55378,1.05318,0.93507,0.92367,0.93565,0.81342,0.54927,0.44644,0.92328,0.000534386,0.000534386,0.000534386
22,2088.48,0.72654,0.54057,1.05606,0.93245,0.92079,0.9374,0.8133,0.56351,0.44834,0.92989,0.000525629,0.000525629,0.000525629
23,2184.73,0.7317,0.5422,1.05644,0.92752,0.91064,0.93425,0.80918,0.56889,0.46557,0.94059,0.000516548,0.000516548,0.000516548
24,2280.95,0.72706,0.54252,1.05336,0.93588,0.92021,0.93607,0.81191,0.55998,0.46059,0.93101,0.000507157,0.000507157,0.000507157
25,2376.41,0.72335,0.53913,1.05002,0.93226,0.91687,0.94313,0.80235,0.62031,0.4636,0.94169,0.000497471,0.000497471,0.000497471
26,2471.59,0.70533,0.52784,1.04372,0.93451,0.92991,0.94388,0.82415,0.53593,0.42697,0.91309,0.000487505,0.000487505,0.000487505
27,2567.5,0.70345,0.52296,1.04169,0.92959,0.90449,0.93858,0.81834,0.53684,0.44702,0.91591,0.000477273,0.000477273,0.000477273
28,2662.46,0.69863,0.52302,1.03798,0.93507,0.90774,0.94417,0.82263,0.54264,0.43497,0.91895,0.000466792,0.000466792,0.000466792
29,2758.46,0.68675,0.51161,1.033,0.93319,0.92628,0.94378,0.82897,0.5195,0.42011,0.91109,0.000456078,0.000456078,0.000456078
30,2853.82,0.68345,0.51186,1.02933,0.93789,0.92509,0.94544,0.82763,0.53115,0.42919,0.91702,0.000445148,0.000445148,0.000445148
31,2949.12,0.66719,0.50373,1.02552,0.93647,0.92499,0.94202,0.83226,0.50484,0.41941,0.90433,0.000434018,0.000434018,0.000434018
32,3044.27,0.67313,0.4954,1.02218,0.93841,0.91543,0.94423,0.82966,0.52003,0.42093,0.91432,0.000422705,0.000422705,0.000422705
33,3139.99,0.67065,0.49115,1.02007,0.93488,0.91142,0.94036,0.82522,0.51709,0.4339,0.91262,0.000411227,0.000411227,0.000411227
34,3235.32,0.65089,0.48684,1.01731,0.93153,0.91253,0.94234,0.82942,0.52027,0.42781,0.91211,0.000399602,0.000399602,0.000399602
35,3330.15,0.65138,0.48651,1.01315,0.92582,0.91881,0.94731,0.83842,0.5021,0.41496,0.90587,0.000387847,0.000387847,0.000387847
36,3425.87,0.65197,0.48674,1.01224,0.93736,0.91648,0.9437,0.83411,0.50199,0.42392,0.90522,0.000375981,0.000375981,0.000375981
37,3521.3,0.63914,0.47642,1.00748,0.93859,0.91487,0.94348,0.83494,0.50019,0.41097,0.90453,0.000364022,0.000364022,0.000364022
38,3616.74,0.63713,0.47481,1.00558,0.92883,0.91483,0.94204,0.83785,0.48887,0.41601,0.90261,0.000351988,0.000351988,0.000351988
39,3712.22,0.63133,0.46283,1.00261,0.93053,0.91612,0.94385,0.83234,0.51003,0.40252,0.90538,0.000339898,0.000339898,0.000339898
40,3808.61,0.6268,0.46683,1.0019,0.9293,0.91624,0.94191,0.83843,0.48681,0.4087,0.9001,0.000327771,0.000327771,0.000327771
41,3904.01,0.62514,0.46546,0.99853,0.91656,0.90134,0.93241,0.82872,0.48655,0.44964,0.89861,0.000315625,0.000315625,0.000315625
42,3999.43,0.62521,0.4655,1.00089,0.93034,0.92203,0.9453,0.83685,0.48786,0.40026,0.89979,0.000303479,0.000303479,0.000303479
43,4095.6,0.61346,0.44755,0.9935,0.93085,0.90126,0.94103,0.83829,0.48674,0.4157,0.89839,0.000291352,0.000291352,0.000291352
44,4191.28,0.60489,0.44857,0.98765,0.9272,0.91226,0.94338,0.84176,0.47731,0.40112,0.89657,0.000279262,0.000279262,0.000279262
45,4287.21,0.60391,0.44405,0.98621,0.9368,0.8983,0.94196,0.83866,0.48628,0.40324,0.89799,0.000267228,0.000267228,0.000267228
46,4382.95,0.59793,0.43568,0.9864,0.9257,0.89961,0.93837,0.83635,0.48048,0.41791,0.89708,0.000255269,0.000255269,0.000255269
47,4479.71,0.59552,0.43508,0.98416,0.9259,0.90519,0.9374,0.83923,0.47229,0.40987,0.89391,0.000243403,0.000243403,0.000243403
48,4575.53,0.59722,0.43867,0.98544,0.92467,0.91246,0.93989,0.84203,0.4689,0.4004,0.89419,0.000231648,0.000231648,0.000231648
49,4670.78,0.59173,0.43523,0.98226,0.92577,0.90522,0.94096,0.84384,0.46818,0.40801,0.89266,0.000220023,0.000220023,0.000220023
50,4766.91,0.58056,0.42934,0.97526,0.93212,0.9185,0.94137,0.84984,0.46252,0.39362,0.89164,0.000208545,0.000208545,0.000208545
51,4862.22,0.57412,0.42323,0.9744,0.93023,0.92551,0.94484,0.84999,0.46766,0.3806,0.8925,0.000197232,0.000197232,0.000197232
52,4959.61,0.57371,0.41473,0.97127,0.91979,0.91868,0.94151,0.84738,0.46593,0.39679,0.89389,0.000186102,0.000186102,0.000186102
53,5055.33,0.57116,0.41758,0.9678,0.92579,0.89007,0.9372,0.84074,0.46606,0.41238,0.89205,0.000175172,0.000175172,0.000175172
54,5151.22,0.56849,0.41163,0.97022,0.91014,0.91241,0.93869,0.84375,0.46554,0.40011,0.89254,0.000164458,0.000164458,0.000164458
55,5246.59,0.56051,0.41366,0.96945,0.92075,0.90863,0.93756,0.8451,0.46085,0.39673,0.89061,0.000153977,0.000153977,0.000153977
56,5342.73,0.56126,0.40941,0.96812,0.92155,0.9066,0.93981,0.8485,0.45633,0.39267,0.89002,0.000143745,0.000143745,0.000143745
57,5438.6,0.55763,0.40253,0.96564,0.91111,0.91643,0.93856,0.84723,0.45844,0.39526,0.89098,0.000133779,0.000133779,0.000133779
58,5535.28,0.55161,0.39312,0.9644,0.92811,0.90366,0.93973,0.84823,0.45721,0.39336,0.89183,0.000124093,0.000124093,0.000124093
59,5631.35,0.54357,0.39245,0.95624,0.91789,0.90174,0.93649,0.84484,0.45629,0.40129,0.89079,0.000114702,0.000114702,0.000114702
60,5728.41,0.53964,0.38839,0.95288,0.90239,0.90863,0.93455,0.8435,0.45326,0.4045,0.89066,0.000105621,0.000105621,0.000105621
61,5824.82,0.53921,0.38421,0.95486,0.90669,0.91796,0.93533,0.84648,0.45332,0.39523,0.89016,9.68638e-05,9.68638e-05,9.68638e-05
62,5921.28,0.53677,0.38927,0.95214,0.91144,0.92423,0.94272,0.85132,0.45802,0.38652,0.89152,8.8444e-05,8.8444e-05,8.8444e-05
63,6017.01,0.5383,0.38873,0.95668,0.90477,0.91737,0.9385,0.84695,0.45526,0.39722,0.8914,8.03744e-05,8.03744e-05,8.03744e-05
64,6112.53,0.52881,0.37685,0.94995,0.92564,0.90335,0.93765,0.84871,0.45525,0.3983,0.89138,7.26676e-05,7.26676e-05,7.26676e-05
65,6208.46,0.52858,0.37802,0.94781,0.90721,0.90836,0.93315,0.84203,0.46111,0.41275,0.89386,6.53354e-05,6.53354e-05,6.53354e-05
66,6304.47,0.53221,0.38207,0.9541,0.90465,0.91171,0.93568,0.84768,0.45281,0.40384,0.89089,5.83891e-05,5.83891e-05,5.83891e-05
67,6400.54,0.52323,0.37609,0.94703,0.92266,0.89297,0.9328,0.846,0.45113,0.40921,0.89009,5.18394e-05,5.18394e-05,5.18394e-05
68,6495.93,0.52349,0.36465,0.94927,0.9084,0.90996,0.93686,0.85126,0.44697,0.3974,0.88755,4.56965e-05,4.56965e-05,4.56965e-05
69,6592.5,0.52055,0.36581,0.94466,0.91693,0.89281,0.93506,0.84873,0.45133,0.40885,0.88899,3.99699e-05,3.99699e-05,3.99699e-05
70,6688.1,0.5184,0.36352,0.944,0.92323,0.89253,0.93492,0.84896,0.44975,0.40589,0.88881,3.46682e-05,3.46682e-05,3.46682e-05
71,6786.46,0.48286,0.3296,0.92377,0.92074,0.89328,0.933,0.84704,0.44698,0.40802,0.88808,2.97998e-05,2.97998e-05,2.97998e-05
72,6882.84,0.48247,0.32501,0.92291,0.91596,0.89076,0.93104,0.84481,0.44755,0.41217,0.88873,2.53721e-05,2.53721e-05,2.53721e-05
73,6978.08,0.4776,0.32184,0.92184,0.9205,0.89147,0.93516,0.85012,0.44832,0.40918,0.88887,2.13919e-05,2.13919e-05,2.13919e-05
74,7074,0.47764,0.32269,0.92123,0.9162,0.89379,0.9337,0.84699,0.45285,0.41211,0.89029,1.78654e-05,1.78654e-05,1.78654e-05
75,7169.06,0.47905,0.32234,0.92287,0.91429,0.89165,0.93179,0.84604,0.44973,0.4144,0.88917,1.47981e-05,1.47981e-05,1.47981e-05
76,7265.13,0.47474,0.32025,0.91822,0.91655,0.89054,0.9311,0.84454,0.44997,0.41515,0.8894,1.21946e-05,1.21946e-05,1.21946e-05
77,7361.88,0.47442,0.32089,0.91901,0.91065,0.89608,0.93142,0.84525,0.44889,0.41481,0.88945,1.00589e-05,1.00589e-05,1.00589e-05
78,7459.47,0.47482,0.32087,0.92155,0.91553,0.8923,0.93117,0.8455,0.45036,0.4144,0.88937,8.39445e-06,8.39445e-06,8.39445e-06
79,7555.37,0.47557,0.31729,0.9201,0.91845,0.89101,0.93164,0.8451,0.45167,0.41277,0.88994,7.2037e-06,7.2037e-06,7.2037e-06
80,7651.77,0.47468,0.3208,0.92067,0.91665,0.8917,0.9313,0.84541,0.45206,0.41302,0.89004,6.48852e-06,6.48852e-06,6.48852e-06
